image,dst_type,dst_idx,dst_lev,dmos_std,dmos,DSSIM,SSIMULACRA,Butteraugli,Butteraugli_XL,Butteraugli_XL_3m,Butteraugli_XL_2s,Butteraugli_XL_3s,Butteraugli_XL_6s,Butteraugli_XL_12s
1600,AWGN,1,1,0.0612190731017426,0.06198940631407,0.00374064,0.04121361,2.578992,1.8880457878,0.92405,0.694919,0.762532,0.917616,1.092003
1600,AWGN,1,2,0.0971321981418872,0.20624450621129106,0.01338788,0.11214672,4.927714,2.8281071186,1.458233,1.190222,1.26115,1.440755,1.672796
1600,AWGN,1,3,0.0325909045630567,0.262122225978979,0.03820509,0.21200211,9.113177,4.1020255089,2.132035,1.908046,1.958889,2.100061,2.337156
1600,AWGN,1,4,0.106896094889754,0.3746322895961989,0.08991186,0.30976739,12.603234,6.0446367264,3.369303,3.085772,3.149221,3.328651,3.630036
1600,AWGN,1,5,0.1196543774021,0.467480295574237,0.16998161,0.39719199,16.456184,9.4187641144,5.795542,5.092584,5.275815,5.745409,6.365401
1600,JPEG,2,1,0.00359832912629426,0.0128730514556379,0.0012388,0.01130547,2.187153,2.2511889935,0.845185,0.52599,0.62722,0.835658,1.072678
1600,JPEG,2,2,0.063352119952441,0.0691476976770665,0.00665382,0.0340369,3.509669,3.4251935482,1.283264,0.936612,1.005929,1.227293,1.616572
1600,JPEG,2,3,0.0836092997640814,0.196827211716677,0.03036384,0.08878252,8.763564,7.0115709305,2.628634,1.949175,2.06807,2.489043,3.328789
1600,JPEG,2,4,0.082817360991949,0.5010634792871811,0.14312533,0.21320945,20.110664,18.1916332245,6.6184,4.973083,5.251903,6.216146,8.387152
1600,JPEG,2,5,0.0586628643325048,0.687126840509715,0.3451187,0.32073022,34.969219,35.8593330383,16.098947,11.54218,12.794385,16.00433,19.498125
1600,jpeg2000,3,1,0.00199118866439743,0.0119674975407025,0.00290371,0.01618662,2.95382,2.9363052845,0.840882,0.608621,0.649311,0.77098,1.102355
1600,jpeg2000,3,2,0.0592617778718178,0.135311311101256,0.01389872,0.048480300000000004,6.258058999999999,6.6192398071,1.775204,1.206107,1.276322,1.523903,2.525387
1600,jpeg2000,3,3,0.0696109813705117,0.3643609853066029,0.05248563,0.11641445,8.595163000000001,8.9417772293,3.328481,2.450642,2.632496,3.174728,4.178219
1600,jpeg2000,3,4,0.0919258697272447,0.575843448619273,0.18655578,0.24386526,28.208004,22.4109954834,7.813221,5.572854,6.052836,7.341088,10.045739
1600,jpeg2000,3,5,0.0,0.826915940190613,0.67525158,0.43512551,106.868729,106.6199417114,30.916012,15.678404,17.934752,27.382421,47.430863
1600,fnoise,4,1,0.0415580206237111,0.05237616147238599,0.00844047,0.02132801,4.245988,4.3178157806,2.143565,1.554176,1.705165,2.094927,2.630602
1600,fnoise,4,2,0.0576060933464618,0.253057872808644,0.02968395,0.0636593,8.719305,9.7166728973,4.554328,3.286839,3.612899,4.453019,5.597065
1600,fnoise,4,3,0.0214627599173081,0.375740865814505,0.08643348,0.14422201,16.083099,16.103433609,7.645549,5.466214,5.996469,7.441902,9.498276
1600,fnoise,4,4,0.111111722269478,0.48988015846181,0.21118801,0.26215927,23.290851999999997,25.8730602264,11.782548,8.347315,9.188355,11.436734,14.722556
1600,fnoise,4,5,0.115776375800555,0.565219408431134,0.44324697,0.38585449,41.671993,42.0166282654,17.97587,12.273586,13.554463,17.235225,23.137921
1600,BLUR,5,1,0.0529045007309422,0.0426677131995919,0.00281198,0.00561453,1.4551370000000001,1.1911137104,0.645413,0.508223,0.554167,0.641226,0.740845
1600,BLUR,5,2,0.0817870357089661,0.142434686900012,0.01158424,0.02292292,2.7498259999999997,2.514465332,1.276195,1.029007,1.110654,1.267245,1.450686
1600,BLUR,5,3,0.0823449646664687,0.34111428415897305,0.04010713,0.07388743,5.487328,5.1888923645,2.46443,2.014844,2.159704,2.436473,2.797113
1600,BLUR,5,4,0.115072536148307,0.471037699302558,0.14542083,0.20082413,16.274107,13.9890422821,6.134824,4.813161,5.196249,5.974537,7.233686
1600,BLUR,5,5,0.0536981387227261,0.749794523955729,0.53836713,0.39207153,124.157936,86.0569763184,28.951452,17.642515,20.102638,27.132428,39.61929
1600,contrast,6,1,0.0458590629654374,0.0561813273978641,0.00574292,0.03673765,5.397315,5.9316315651,4.289161,3.620308,3.854303,4.302974,4.710206
1600,contrast,6,2,0.0814242067047188,0.20096895638002896,0.03501558,0.07273603,13.216642000000002,14.5680351257,10.392348,8.748655,9.321908,10.424891,11.430244
1600,contrast,6,3,0.0960480603819471,0.310324647834514,0.16577979,0.15444172,29.627333,33.8073806763,21.950956,18.41262,19.624098,21.997464,24.231306
1600,contrast,6,4,0.115433057868455,0.370598871808904,0.23710923,0.19013857,37.227352,39.9023323059,26.060905,21.815792,23.257855,26.11114,28.813721
aerial_city,AWGN,1,1,0.0136596774372606,0.031592368858435,0.00463301,0.03909037,1.813435,1.6403101683,0.804418,0.644146,0.688136,0.792525,0.932593
aerial_city,AWGN,1,2,0.0815755778408609,0.12513507706670302,0.01619451,0.10709936,3.5053900000000002,2.7305777073,1.387383,1.171555,1.229784,1.370121,1.562244
aerial_city,AWGN,1,3,0.0642599923200663,0.244957300482738,0.04538915,0.20948619,5.448052,4.0885982513,2.158589,1.91154,1.973415,2.131394,2.370959
aerial_city,AWGN,1,4,0.0541112709522354,0.372946533696755,0.10602016,0.32135309,8.799097999999999,5.6467380524,3.339305,3.004542,3.086426,3.304069,3.62742
aerial_city,AWGN,1,5,0.0458282343664985,0.501262985133045,0.2088327,0.42933086,12.483935,9.0223960876,5.806734,5.086602,5.285741,5.776724,6.357737
aerial_city,JPEG,2,1,0.0142211853932522,0.0302819948023374,0.00297113,0.02870487,1.6874900000000002,1.4554698467,0.661419,0.542042,0.570603,0.645854,0.767799
aerial_city,JPEG,2,2,0.0428387459926707,0.0645451464014395,0.01437924,0.08781285,3.525035,3.116102457,1.435837,1.205529,1.253886,1.395112,1.658512
aerial_city,JPEG,2,3,0.146040834444311,0.38889236177884295,0.06225909,0.1868241,8.921989,9.8011655807,3.955648,3.065878,3.254268,3.825426,4.78725
aerial_city,JPEG,2,4,0.0559105242303438,0.607259927699706,0.18108374,0.26548295,16.799164,16.9550590515,7.655178,6.09089,6.441036,7.464606,9.059891
aerial_city,JPEG,2,5,0.0387986805177265,0.8190818939744,0.43598415,0.34261679,43.888237,40.39112854,16.918092,12.621958,13.655564,16.548489,20.550225
aerial_city,jpeg2000,3,1,0.0090576524799601,0.0270451931525208,0.00635728,0.04053357,2.669377,2.6362576485,1.074942,0.800889,0.873162,1.049795,1.301869
aerial_city,jpeg2000,3,2,0.0133998159644024,0.191014253095208,0.03034391,0.12399349999999999,6.302980000000001,6.2002515793,2.650091,1.970226,2.144389,2.587526,3.218358
aerial_city,jpeg2000,3,3,0.0785213172980865,0.485550527180349,0.09500246,0.2011059,15.345977,14.2243642807,5.250732,3.808716,4.064086,4.885861,6.802247
aerial_city,jpeg2000,3,4,0.121996955366843,0.7544132534590999,0.2518855,0.27428372,53.612190000000005,47.7345428467,12.776121,7.359935,8.077538,10.944108,19.306717
aerial_city,jpeg2000,3,5,0.0,0.955908136394764,0.75462121,0.41564120000000004,136.802017,105.3862075806,33.517665,19.294472,22.41926,31.27063,46.863107
aerial_city,fnoise,4,1,0.0410357390530957,0.125645713659564,0.01079041,0.02091536,4.370379,4.5829138756,2.321402,1.711627,1.857579,2.265509,2.841118
aerial_city,fnoise,4,2,0.0971472948100722,0.31873079734833804,0.03926355,0.06537707,7.4242550000000005,8.0376338959,4.093323,3.178703,3.42019,4.025998,4.83378
aerial_city,fnoise,4,3,0.0775881322579806,0.475220736192205,0.11275628,0.15625654,15.499431,19.0412082672,8.746474,5.933817,6.630959,8.511842,11.096621
aerial_city,fnoise,4,4,0.0520872542894196,0.6006280112891981,0.26352836,0.27887793,24.428951,26.8013286591,12.278417,8.615068,9.457344,11.838903,15.539004
aerial_city,fnoise,4,5,0.0720001574406689,0.707734203653038,0.55805048,0.41984479,35.696709000000006,39.760635376,17.048502,11.731216,12.744936,16.061587,22.338984
aerial_city,BLUR,5,1,0.009745392419187659,0.0249838918612171,0.00327567,0.00878613,1.654716,2.1488380432,0.868796,0.490351,0.578555,0.843667,1.184168
aerial_city,BLUR,5,2,0.082236174176025,0.114348571203765,0.01164992,0.03052062,3.165849,3.7175998688,1.54353,0.925735,1.064929,1.494169,2.071493
aerial_city,BLUR,5,3,0.0866205784714729,0.259420812794303,0.04103995,0.09949045,5.679317,7.0629105568,2.842936,1.879259,2.075969,2.719257,3.733583
aerial_city,BLUR,5,4,0.0804592592247703,0.463944830038668,0.14273403,0.20565104,16.524481,15.7679233551,6.187396,4.455421,4.847136,5.931859,7.783193
aerial_city,BLUR,5,5,0.0743813468043418,0.895962857527705,0.7036089,0.38351764,133.377548,100.1150054932,32.320611,18.812424,22.176544,30.556574,44.228715
aerial_city,contrast,6,1,0.0400696104986912,0.0378070311306819,0.01048491,0.01960774,5.629755,8.0061502457,5.793259,4.640095,5.069788,5.8301,6.47989
aerial_city,contrast,6,2,0.0582841328332744,0.16308937099203602,0.06725054,0.07161185,13.731873,19.969669342,14.156051,11.283475,12.351135,14.241971,15.875045
aerial_city,contrast,6,3,0.0491993581806271,0.3665669611199221,0.32413988,0.20679488,30.754389,41.4554672241,28.10177,22.513423,24.562399,28.257721,31.48519
aerial_city,contrast,6,4,0.0572555789207353,0.4525869290530471,0.46914761,0.26586364,38.938423,48.152141571,32.535535,26.180075,28.493088,32.709498,36.404018
boston,AWGN,1,1,0.0420287855493949,0.0291592692530227,0.00357655,0.03453297,2.076391,1.671734333,0.751148,0.581572,0.621713,0.733547,0.898183
boston,AWGN,1,2,0.0215701168385565,0.0813684818258959,0.01275228,0.09547642,3.7075400000000003,2.7393774986,1.280672,1.06257,1.112583,1.252583,1.47685
boston,AWGN,1,3,0.0464281435953059,0.215496298627898,0.03758418,0.19382127,5.647365,3.7521429062,1.939608,1.72053,1.769255,1.906434,2.143135
boston,AWGN,1,4,0.11409671397388,0.383116126747224,0.08693077,0.29637143,9.154884,5.1243014336,2.847442,2.609936,2.659742,2.805954,3.076629
boston,AWGN,1,5,0.0760523134741936,0.471590838075796,0.1691783,0.39413743,12.92774,8.02302742,4.400791,3.86384,3.964701,4.297052,4.940619
boston,JPEG,2,1,0.0,0.0,0.00244953,0.02473754,1.7133919999999998,1.5495142937,0.613441,0.510465,0.531231,0.592828,0.716263
boston,JPEG,2,2,0.0381121092520099,0.0498835173529152,0.01118041,0.05855466,3.215595,2.7317790985,1.230123,1.068324,1.102064,1.199832,1.388471
boston,JPEG,2,3,0.0674426796043998,0.328491509700123,0.057733400000000004,0.14454035,6.431407,7.4863815308,3.091283,2.627414,2.713233,2.979009,3.581607
boston,JPEG,2,4,0.0901548932697061,0.736937039128374,0.34198923,0.32371999,31.328314000000002,30.3921890259,11.89861,8.705094,9.281776,11.347447,15.066606
boston,JPEG,2,5,0.0664958690008646,0.8324809865230991,0.52577801,0.3761427,42.322495,42.3522071838,15.037618,11.018428,11.692156,14.050798,19.369899
boston,jpeg2000,3,1,0.0004886778783870719,0.000294395042436253,0.00449563,0.02989664,2.326667,2.4221255779,0.9616,0.669635,0.730745,0.920896,1.23316
boston,jpeg2000,3,2,0.095397200942493,0.1181350968545,0.02384557,0.08379392,4.480939,5.3590102196,2.048935,1.57585,1.676817,1.968202,2.501786
boston,jpeg2000,3,3,0.122025020224388,0.3893350812075979,0.08762084,0.17409998,17.13571,16.8913650513,5.09443,3.321219,3.564502,4.566492,7.152297
boston,jpeg2000,3,4,0.0959169110321258,0.6965625312273089,0.30012992,0.30879242,39.207775,44.8955383301,13.014924,8.015141,8.825174,11.58502,18.634577
boston,jpeg2000,3,5,0.0033828099206566,0.904305422978862,0.94875885,0.45377495,134.582794,99.2612075806,33.1259,19.781757,22.476086,30.639066,46.262549
boston,fnoise,4,1,0.0488900294160526,0.0676535887151561,0.00856945,0.017596200000000003,4.537033,4.7450013161,2.160637,1.576837,1.711534,2.089537,2.680842
boston,fnoise,4,2,0.129803731915935,0.243426817794292,0.033011900000000004,0.05829425,7.710394,8.5737419128,4.290015,3.159126,3.442134,4.202043,5.225868
boston,fnoise,4,3,0.0986990189605454,0.498128999068226,0.09293548,0.13766544,13.582354999999998,14.2558641434,7.362113,5.563142,6.033058,7.23751,8.815772
boston,fnoise,4,4,0.103936656056362,0.6199626990385531,0.22578103,0.25479212,22.233192000000003,22.8939838409,11.479725,8.488268,9.185,11.123569,14.130607
boston,fnoise,4,5,0.103858319742826,0.7240842268002149,0.40856322,0.34959067,31.155237,35.303062439,16.150384,11.458078,12.497401,15.598827,20.354923
boston,BLUR,5,1,0.0600780607334628,0.0834562949685563,0.00345973,0.00838793,1.433675,1.3525328636,0.585216,0.425708,0.458942,0.561971,0.734733
boston,BLUR,5,2,0.108236629688157,0.215748970761468,0.01413418,0.033083600000000005,2.992438,2.7695224285,1.205391,0.934553,0.994823,1.166109,1.455242
boston,BLUR,5,3,0.15553713782500306,0.36312032387843,0.05209444,0.09985847,6.58188,5.6026158333,2.609976,2.113853,2.231488,2.543627,3.054813
boston,BLUR,5,4,0.0752730276134605,0.571217256028999,0.20516941,0.23144071,25.804222,18.3901138306,7.910212,5.909034,6.394237,7.66562,9.670778
boston,BLUR,5,5,0.0229159481696207,0.913012520343366,0.91978586,0.43975985,148.39816299999998,116.7544937134,36.770975,21.316917,24.617922,33.783491,51.911511
boston,contrast,6,1,0.0443997235911567,0.116568400627501,0.01313953,0.01788933,8.62674,12.6579971313,6.552718,4.130417,4.940292,6.539952,8.177909
boston,contrast,6,2,0.0962585783369183,0.339159270140588,0.08784157,0.07169062,21.118643,33.429599762,16.062626,9.891825,11.881454,15.936118,20.370307
boston,contrast,6,3,0.0314617249932363,0.605351710200846,0.48845861,0.27422807,49.789257,66.5592651367,31.562191,20.074003,23.728946,31.327809,39.629818
boston,contrast,6,4,0.131435907369193,0.689729464762712,0.78101735,0.38531704,72.891739,90.8191070557,40.209471,24.887426,29.437028,39.598564,51.59282
bridge,AWGN,1,1,0.006796541807565211,0.0277820429649864,0.00403767,0.03709626,2.471736,1.787964344,0.893107,0.710208,0.762486,0.882322,1.034512
bridge,AWGN,1,2,0.0724702708828939,0.08785664541352199,0.01427648,0.10058507,4.23217,2.9969134331,1.448531,1.224556,1.285043,1.431093,1.629459
bridge,AWGN,1,3,0.12708815833065198,0.25178837180750696,0.04102244,0.19685194,7.169356,3.9948811531,2.193597,1.974054,2.028897,2.168403,2.383492
bridge,AWGN,1,4,0.119261531841214,0.408695188321812,0.09241491,0.29162467,9.9748,6.0893974304,3.565844,3.158626,3.266298,3.53838,3.892855
bridge,AWGN,1,5,0.0772976623865088,0.517008840148937,0.18737558,0.39263881,15.321204000000002,10.2334623337,6.44004,5.349142,5.695943,6.446718,7.177461
bridge,JPEG,2,1,0.0459408093800418,0.0371934684301201,0.0018233000000000001,0.01786904,1.581869,1.3729127645,0.584253,0.488661,0.509783,0.568693,0.674284
bridge,JPEG,2,2,0.0738330470298446,0.0758366784340456,0.0108134,0.04684324,3.5469699999999995,3.1496264935,1.287714,1.126157,1.158362,1.253035,1.451745
bridge,JPEG,2,3,0.0682229163102482,0.272774342321385,0.05036277,0.11151813,9.306627,7.3133306503,3.059971,2.551058,2.645714,2.950494,3.583704
bridge,JPEG,2,4,0.0665432138623141,0.7431163477930859,0.29206965,0.26063946,30.520905,27.9330368042,12.962425,9.504526,10.3539,12.672687,15.860689
bridge,JPEG,2,5,0.0428968226194365,0.8161642441908671,0.40968834,0.33671433,48.265278,64.0012664795,20.628789,13.034044,14.377,18.670592,28.838776
