ref_img,dist_img,dst_type,dst_lev,mos,DSSIM,SSIMULACRA,Butteraugli,Butteraugli_XL,Butteraugli_XL_3m,Butteraugli_XL_2s,Butteraugli_XL_3s,Butteraugli_XL_6s,Butteraugli_XL_12s
avion,avion_j2000_r1,j2000,1,4.69231,0.0094679,0.046573,4.320238,3.6409542561,1.699924,1.331016,1.414149,1.649388,2.036236
avion,avion_j2000_r2,j2000,2,4.26923,0.02742083,0.07424561,8.403483999999999,6.9751992226,2.76527,2.123917,2.241475,2.620473,3.433861
avion,avion_j2000_r3,j2000,3,3.30769,0.05061831,0.09822148,16.830957,13.2605848312,4.299597,2.969797,3.181014,3.94368,5.774098
avion,avion_j2000_r4,j2000,4,2.80769,0.06261183,0.10861972,17.045214,13.3533630371,4.688085,3.330017,3.581059,4.396703,6.086493
avion,avion_j2000_r5,j2000,5,2.0,0.11827823,0.15085231,24.638185999999997,23.0106658936,7.56307,4.920058,5.434193,7.04717,10.207848
avion,avion_jpeg_r1,jpeg,1,4.26923,0.02638638,0.08484123,9.596254,6.0780596733,2.565989,2.004051,2.077668,2.393856,3.226443
avion,avion_jpeg_r2,jpeg,2,3.34615,0.03439245,0.09509682,9.35316,6.9304423332,2.903354,2.315736,2.398519,2.722776,3.588767
avion,avion_jpeg_r3,jpeg,3,2.57692,0.05346617,0.11995413,9.955574,7.3073692322,3.53746,2.931668,3.031206,3.380169,4.201006
avion,avion_jpeg_r4,jpeg,4,1.88462,0.07248699,0.13994882,11.228044,9.1021595001,4.284441,3.661413,3.786703,4.167837,4.898782
avion,avion_jpeg_r5,jpeg,5,1.38462,0.09694586,0.15571896,13.753677,11.6803970337,4.956878,4.17128,4.31811,4.773023,5.779502
barba,barba_flou_f1,flou,1,4.4230800000000015,0.01696327,0.04678822,7.945284,5.8692469597,2.241777,1.356841,1.587402,2.182288,2.955639
barba,barba_flou_f2,flou,2,3.30769,0.07680909,0.17351653,15.939882999999998,12.8276224136,5.419819,3.208766,3.83541,5.346237,7.077809
barba,barba_flou_f3,flou,3,2.4615400000000003,0.13197301,0.23581231,20.660792999999998,15.313574791,6.581612,4.406268,5.015997,6.421937,8.306902
barba,barba_flou_f4,flou,4,1.46154,0.17449879999999998,0.25449555,56.515373,32.2378005981,11.245793,6.134076,7.164732,10.56893,16.003715
barba,barba_flou_f5,flou,5,1.11538,0.20833511,0.28183174,67.54091600000001,41.757183075,14.906382,7.261711,8.652708,14.06892,21.997517
barba,barba_j2000_r1,j2000,1,4.576919999999999,0.01312734,0.05652168,5.939226000000001,7.0239992142,2.145517,1.526039,1.641663,1.993509,2.80138
barba,barba_j2000_r2,j2000,2,3.65385,0.02757186,0.07409277,8.221597000000001,8.2132234573,2.753642,2.019365,2.15118,2.570566,3.539181
barba,barba_j2000_r3,j2000,3,2.26923,0.05642289,0.10694289,11.888094,10.1267299652,3.855293,2.884422,3.066887,3.657281,4.841712
barba,barba_j2000_r4,j2000,4,1.03846,0.09941196,0.1432786,20.318699,19.1486225128,5.845741,4.009387,4.324369,5.377941,7.834914
barba,barba_j2000_r5,j2000,5,1.0,0.19458892,0.241231,30.263516999999997,35.551109314,11.346541,6.978217,7.777377,10.295524,15.966721
barba,barba_jpeg_lumichr_r1,jpeg_lumichr,1,4.46154,0.01751235,0.06207538,4.043189,4.7705316544,1.73906,1.400015,1.461968,1.648095,2.107116
barba,barba_jpeg_lumichr_r2,jpeg_lumichr,2,3.7307699999999997,0.03143722,0.08538216,5.875201000000001,7.1524043083,2.369511,1.833996,1.914169,2.186935,3.007429
barba,barba_jpeg_lumichr_r3,jpeg_lumichr,3,2.42308,0.06396934,0.1273089,8.620739,9.7021970749,3.483654,2.663239,2.789283,3.236199,4.425479
barba,barba_jpeg_lumichr_r4,jpeg_lumichr,4,1.38462,0.10933699,0.16896853,12.614276,12.7353210449,4.847546,3.631098,3.83464,4.550778,6.157222
barba,barba_jpeg_lumichr_r5,jpeg_lumichr,5,1.07692,0.15411485,0.1930241,15.551492000000001,14.0417060852,5.701259,4.389167,4.637431,5.443926,7.02242
barba,barba_jpeg_r1,jpeg,1,4.0,0.02815839,0.08834810000000001,5.752624,6.3584489822,2.246801,1.806916,1.876779,2.105495,2.758128
barba,barba_jpeg_r2,jpeg,2,3.34615,0.04534268,0.11571679,7.8140350000000005,7.970334053,2.961217,2.342066,2.43262,2.757127,3.693903
barba,barba_jpeg_r3,jpeg,3,2.38462,0.07685012,0.1522259,11.006865,9.6633806229,3.953477,3.178335,3.300292,3.728456,4.831682
barba,barba_jpeg_r4,jpeg,4,1.6923099999999998,0.107346,0.17948088,11.535272,13.7327756882,5.015823,3.955978,4.121034,4.703188,6.223248
barba,barba_jpeg_r5,jpeg,5,1.07692,0.16693633,0.21787057,18.076923,17.277381897,6.87237,5.320685,5.593057,6.52626,8.497794
barba,barba_lar_r1,lar,1,1.19231,0.15431557,0.23035332,25.217024,22.5884342194,8.686072,5.97522,6.585666,8.335329,11.137221
barba,barba_lar_r2,lar,2,2.0,0.07841533,0.16930786,16.673365,21.6251392365,7.157359,3.905227,4.374839,6.559559,10.537678
barba,barba_lar_r3,lar,3,3.0,0.06327842,0.14556271,16.060389,21.5600452423,6.946008,3.37032,3.911993,6.420047,10.505984
barba,barba_lar_r4,lar,4,3.7692300000000003,0.03013775,0.0877423,9.513902,6.9162826538,2.474856,1.995493,2.069746,2.317003,3.03782
