mos,dist_img,var,ref_img,dst_type
5.51429,I01_01_1.bmp,0.13013,I01.bmp,01
5.56757,i01_01_2.bmp,0.16008,i01.bmp,01
4.94444,i01_01_3.bmp,0.15186,i01.bmp,01
4.37838,i01_01_4.bmp,0.11046,i01.bmp,01
3.86486,i01_01_5.bmp,0.10229,i01.bmp,01
6.02857,i01_02_1.bmp,0.16896,i01.bmp,02
6.10811,i01_02_2.bmp,0.17001,i01.bmp,02
5.38889,i01_02_3.bmp,0.16795,i01.bmp,02
4.71429,i01_02_4.bmp,0.10358,i01.bmp,02
4.36111,i01_02_5.bmp,0.13695,i01.bmp,02
4.77143,i01_03_1.bmp,0.12832,i01.bmp,03
4.27027,i01_03_2.bmp,0.13594,i01.bmp,03
3.70270,i01_03_3.bmp,0.10719,i01.bmp,03
3.19444,i01_03_4.bmp,0.09477,i01.bmp,03
2.71429,i01_03_5.bmp,0.09537,i01.bmp,03
5.97143,i01_04_1.bmp,0.13694,i01.bmp,04
5.75676,i01_04_2.bmp,0.15946,i01.bmp,04
5.27027,i01_04_3.bmp,0.17368,i01.bmp,04
5.24324,i01_04_4.bmp,0.16398,i01.bmp,04
4.71429,i01_04_5.bmp,0.13138,i01.bmp,04
5.91892,i01_05_1.bmp,0.15934,i01.bmp,05
5.70270,i01_05_2.bmp,0.17036,i01.bmp,05
5.08333,i01_05_3.bmp,0.13249,i01.bmp,05
4.13889,i01_05_4.bmp,0.09744,i01.bmp,05
3.13889,i01_05_5.bmp,0.09744,i01.bmp,05
4.00000,i01_06_1.bmp,0.11467,i01.bmp,06
3.89189,i01_06_2.bmp,0.16566,i01.bmp,06
3.72973,i01_06_3.bmp,0.10571,i01.bmp,06
3.48571,i01_06_4.bmp,0.08448,i01.bmp,06
2.94444,i01_06_5.bmp,0.11072,i01.bmp,06
5.08333,i01_07_1.bmp,0.15404,i01.bmp,07
4.75000,i01_07_2.bmp,0.13249,i01.bmp,07
4.00000,i01_07_3.bmp,0.11111,i01.bmp,07
3.22222,i01_07_4.bmp,0.11188,i01.bmp,07
2.19444,i01_07_5.bmp,0.11666,i01.bmp,07
5.18919,i01_08_1.bmp,0.13151,i01.bmp,08
4.47222,i01_08_2.bmp,0.13314,i01.bmp,08
3.48649,i01_08_3.bmp,0.11856,i01.bmp,08
3.00000,i01_08_4.bmp,0.09035,i01.bmp,08
2.11111,i01_08_5.bmp,0.10956,i01.bmp,08
6.08333,i01_09_1.bmp,0.18162,i01.bmp,09
5.16667,i01_09_2.bmp,0.15466,i01.bmp,09
4.42857,i01_09_3.bmp,0.12313,i01.bmp,09
2.81081,i01_09_4.bmp,0.10701,i01.bmp,09
1.54054,i01_09_5.bmp,0.11205,i01.bmp,09
5.97297,i01_10_1.bmp,0.15519,i01.bmp,10
5.94595,i01_10_2.bmp,0.16192,i01.bmp,10
4.91667,i01_10_3.bmp,0.15404,i01.bmp,10
3.21622,i01_10_4.bmp,0.10902,i01.bmp,10
2.08108,i01_10_5.bmp,0.15934,i01.bmp,10
5.91429,I01_11_1.BMP,0.16349,I01.bmp,11
5.67568,i01_11_2.bmp,0.14329,i01.bmp,11
4.69444,i01_11_3.bmp,0.12922,i01.bmp,11
3.67568,i01_11_4.bmp,0.10847,i01.bmp,11
1.45946,i01_11_5.bmp,0.11839,i01.bmp,11
5.94595,i01_12_1.bmp,0.15734,i01.bmp,12
5.86486,i01_12_2.bmp,0.16732,i01.bmp,12
4.21622,i01_12_3.bmp,0.13315,i01.bmp,12
3.83333,i01_12_4.bmp,0.13889,i01.bmp,12
3.43243,i01_12_5.bmp,0.11806,i01.bmp,12
5.45946,I01_13_1.BMP,0.13565,I01.bmp,13
3.91429,i01_13_2.bmp,0.09365,i01.bmp,13
3.27778,i01_13_3.bmp,0.09305,i01.bmp,13
3.16667,i01_13_4.bmp,0.11453,i01.bmp,13
3.10811,i01_13_5.bmp,0.09955,i01.bmp,13
5.69444,i01_14_1.bmp,0.12922,i01.bmp,14
6.05405,i01_14_2.bmp,0.14777,i01.bmp,14
5.75676,i01_14_3.bmp,0.12908,i01.bmp,14
5.55556,i01_14_4.bmp,0.13290,i01.bmp,14
4.47059,i01_14_5.bmp,0.12640,i01.bmp,14
2.83333,i01_15_1.bmp,0.12729,i01.bmp,15
2.82857,i01_15_2.bmp,0.12445,i01.bmp,15
3.10811,i01_15_3.bmp,0.15659,i01.bmp,15
3.58333,i01_15_4.bmp,0.13249,i01.bmp,15
3.89189,i01_15_5.bmp,0.15185,i01.bmp,15
5.80556,i01_16_1.bmp,0.14604,i01.bmp,16
6.05405,i01_16_2.bmp,0.21263,i01.bmp,16
4.88889,i01_16_3.bmp,0.12897,i01.bmp,16
5.02778,i01_16_4.bmp,0.14952,i01.bmp,16
4.19444,i01_16_5.bmp,0.11666,i01.bmp,16
5.35135,i01_17_1.bmp,0.16755,i01.bmp,17
6.62162,i01_17_2.bmp,0.22402,i01.bmp,17
4.08108,i01_17_3.bmp,0.11705,i01.bmp,17
6.24324,i01_17_4.bmp,0.25182,i01.bmp,17
2.97143,i01_17_5.bmp,0.11055,i01.bmp,17
4.62162,i01_18_1.bmp,0.14976,i01.bmp,18
4.22222,i01_18_2.bmp,0.15271,i01.bmp,18
3.77143,i01_18_3.bmp,0.12832,i01.bmp,18
3.47222,i01_18_4.bmp,0.13881,i01.bmp,18
3.41667,i01_18_5.bmp,0.14367,i01.bmp,18
5.94444,i01_19_1.bmp,0.17098,i01.bmp,19
5.47222,i01_19_2.bmp,0.10748,i01.bmp,19
5.08108,i01_19_3.bmp,0.14493,i01.bmp,19
4.52778,i01_19_4.bmp,0.12721,i01.bmp,19
3.94444,i01_19_5.bmp,0.11072,i01.bmp,19
5.85714,i01_20_1.bmp,0.14648,i01.bmp,20
5.83333,i01_20_2.bmp,0.13889,i01.bmp,20
6.02778,i01_20_3.bmp,0.12099,i01.bmp,20
5.08333,i01_20_4.bmp,0.09919,i01.bmp,20
4.33333,i01_20_5.bmp,0.12423,i01.bmp,20
5.70270,i01_21_1.bmp,0.16601,i01.bmp,21
5.27778,i01_21_2.bmp,0.10101,i01.bmp,21
4.67568,i01_21_3.bmp,0.12119,i01.bmp,21
4.05714,i01_21_4.bmp,0.13964,i01.bmp,21
3.05405,i01_21_5.bmp,0.11432,i01.bmp,21
5.55556,i01_22_1.bmp,0.13290,i01.bmp,22
5.18919,i01_22_2.bmp,0.14218,i01.bmp,22
4.30556,i01_22_3.bmp,0.10985,i01.bmp,22
3.16216,i01_22_4.bmp,0.10477,i01.bmp,22
2.19444,i01_22_5.bmp,0.10259,i01.bmp,22
6.28571,i01_23_1.bmp,0.13138,i01.bmp,23
5.61111,i01_23_2.bmp,0.14314,i01.bmp,23
5.77778,i01_23_3.bmp,0.13095,i01.bmp,23
4.80556,i01_23_4.bmp,0.12310,i01.bmp,23
2.40541,i01_23_5.bmp,0.12361,i01.bmp,23
5.70270,i01_24_1.bmp,0.16601,i01.bmp,24
5.58333,i01_24_2.bmp,0.15404,i01.bmp,24
5.10811,i01_24_3.bmp,0.14696,i01.bmp,24
3.08108,i01_24_4.bmp,0.10382,i01.bmp,24
0.45946,i01_24_5.bmp,0.11839,i01.bmp,24
5.74286,I02_01_1.bmp,0.12995,I02.bmp,01
5.34286,i02_01_2.bmp,0.13366,i02.bmp,01
