ref_img,dist_img,dst_type,dst_lev,var,mos,DSSIM,SSIMULACRA,Butteraugli,Butteraugli_XL,Butteraugli_XL_3m,Butteraugli_XL_2s,Butteraugli_XL_3s,Butteraugli_XL_6s,Butteraugli_XL_12s
I01.bmp,I01_01_1.bmp,1,1,0.13013,5.51429,0.01005874,0.08761756,3.951738,2.5624017715,1.189666,0.915085,0.976673,1.161858,1.430468
i01.bmp,i01_01_2.bmp,1,2,0.16008,5.56757,0.01961344,0.13795776,4.867879,3.4026105404,1.541208,1.253511,1.316672,1.505381,1.80157
i01.bmp,i01_01_3.bmp,1,3,0.15186,4.94444,0.03817037,0.20001629,7.868256,4.1391720772,2.033873,1.7279,1.793754,1.991325,2.316541
i01.bmp,i01_01_4.bmp,1,4,0.11045999999999999,4.37838,0.07115358,0.26930024,9.7787,5.1680655479,2.73875,2.398776,2.47284,2.692174,3.051234
i01.bmp,i01_01_5.bmp,1,5,0.10228999999999999,3.8648599999999997,0.12932978,0.34606114,11.517676,6.9041070938,3.9229,3.465613,3.567928,3.866278,4.334493
i01.bmp,i01_02_1.bmp,2,1,0.16896,6.0285699999999975,0.00321092,0.04731645,2.86602,2.2055006027,0.869711,0.586054,0.649015,0.844891,1.115227
i01.bmp,i01_02_2.bmp,2,2,0.17001,6.10811,0.00626751,0.07561106,3.908411,2.5785915852,1.13134,0.816995,0.885379,1.102281,1.406361
i01.bmp,i01_02_3.bmp,2,3,0.16795,5.38889,0.01259493,0.11500601,5.149551,3.3119356632,1.473114,1.150106,1.217618,1.435058,1.766667
i01.bmp,i01_02_4.bmp,2,4,0.10357999999999999,4.71429,0.02416556,0.16596576,6.75188,4.1440987587,1.953031,1.615152,1.68442,1.906742,2.267933
i01.bmp,i01_02_5.bmp,2,5,0.13695,4.36111,0.04672922,0.22554156,9.406487,5.3288440704,2.735661,2.374285,2.45024,2.685157,3.071587
i01.bmp,i01_03_1.bmp,3,1,0.12832000000000002,4.7714300000000005,0.02670985,0.08080094,6.9927660000000005,4.9565253258,1.981892,1.425762,1.537821,1.899052,2.508802
i01.bmp,i01_03_2.bmp,3,2,0.13594,4.27027,0.05463738,0.13023171,10.847031,6.7370028496,2.690399,2.014345,2.145121,2.568002,3.358073
i01.bmp,i01_03_3.bmp,3,3,0.10719000000000001,3.7027,0.10313283,0.19493457,13.844668,8.5182504654,3.513337,2.751299,2.895816,3.363217,4.280978
i01.bmp,i01_03_4.bmp,3,4,0.09477000000000001,3.19444,0.19834343,0.27253404,24.041849,10.8242464066,4.643803,3.782113,3.950768,4.478102,5.502538
i01.bmp,i01_03_5.bmp,3,5,0.09537000000000001,2.71429,0.36577077,0.36240461,29.811104,12.5291776657,6.054427,5.089438,5.284919,5.883548,6.994813
i01.bmp,i01_04_1.bmp,4,1,0.13694,5.9714300000000025,0.00375783,0.04677576,2.669578,2.0408337116,0.785045,0.599936,0.630548,0.734671,0.989917
i01.bmp,i01_04_2.bmp,4,2,0.15946,5.75676,0.00743216,0.07059414,3.514735,2.9697284698,1.162982,0.881313,0.926435,1.084577,1.477935
i01.bmp,i01_04_3.bmp,4,3,0.17368,5.27027,0.01463592,0.10375016,4.986314,4.906460762,1.820646,1.317813,1.395142,1.689902,2.376895
i01.bmp,i01_04_4.bmp,4,4,0.16398,5.24324,0.02695459,0.14470460000000002,7.434830000000002,7.668056488,2.846116,1.953827,2.097122,2.659706,3.78152
i01.bmp,i01_04_5.bmp,4,5,0.13138,4.71429,0.05424745,0.20875539,11.682448,12.4288415909,4.827112,3.209436,3.498402,4.568753,6.414181
i01.bmp,i01_05_1.bmp,5,1,0.15934,5.91892,0.00620286,0.08807532,3.938915,2.4003429413,1.039286,0.794488,0.849675,1.013773,1.254411
i01.bmp,i01_05_2.bmp,5,2,0.17035999999999998,5.7027,0.01195209,0.13632294,5.166904,2.9605154991,1.346828,1.08908,1.145676,1.315051,1.579757
i01.bmp,i01_05_3.bmp,5,3,0.13249,5.08333,0.03393195,0.23694039,8.123264,4.4227762222,2.203656,1.907596,1.973636,2.166714,2.470618
i01.bmp,i01_05_4.bmp,5,4,0.09744,4.13889,0.09170503,0.35549641,13.226677,7.8517894745,4.498706,3.862611,4.018981,4.452583,5.024554
i01.bmp,i01_05_5.bmp,5,5,0.09744,3.13889,0.24513048,0.50062047,22.841705,17.9751720428,11.280627,9.408067,9.918606,11.213142,12.710134
i01.bmp,i01_06_1.bmp,6,1,0.11467000000000001,4.0,0.03045731,0.04881103,21.284433,13.0893716812,3.578684,1.180405,1.747558,3.383174,5.605322
i01.bmp,i01_06_2.bmp,6,2,0.16566,3.89189,0.056914199999999984,0.08412997,24.364035,13.7086772919,4.0583,1.746592,2.30523,3.82525,6.04442
i01.bmp,i01_06_3.bmp,6,3,0.10570999999999996,3.7297300000000004,0.08734086,0.13558312,21.23243,12.8076477051,4.323719,2.367417,2.882456,4.192779,5.895922
i01.bmp,i01_06_4.bmp,6,4,0.08448,3.4857099999999996,0.14065774,0.21023455,28.744339,14.9009876251,5.428196,3.357415,3.929556,5.316527,7.038505
i01.bmp,i01_06_5.bmp,6,5,0.11072,2.94444,0.22512424,0.31288332,30.284304,15.3798284531,7.3863,5.10807,5.825091,7.344372,8.989437
i01.bmp,i01_07_1.bmp,7,1,0.15404,5.08333,0.01338481,0.08777239,7.206114,6.1664566994,2.362057,1.379878,1.658765,2.342897,3.084509
i01.bmp,i01_07_2.bmp,7,2,0.13249,4.75,0.02725365,0.10114818,14.896879,10.2107982635,4.483528,2.506096,3.122605,4.489124,5.838854
i01.bmp,i01_07_3.bmp,7,3,0.11110999999999999,4.0,0.05643568,0.13524604,13.550863,26.2507076263,8.355711,3.573549,4.537469,7.862596,12.667067
i01.bmp,i01_07_4.bmp,7,4,0.11188,3.22222,0.10061713,0.18611909,19.112251,27.1432552338,10.274779,5.887992,6.756474,9.763434,14.304428
i01.bmp,i01_07_5.bmp,7,5,0.11665999999999999,2.19444,0.20317607,0.27906281,30.306156,44.951335907,18.335144,9.944093,12.128107,17.882597,24.994728
i01.bmp,i01_08_1.bmp,8,1,0.13151,5.18919,0.00844898,0.01894565,4.54563,4.1471209526,1.423213,0.763944,0.872789,1.346904,2.049947
i01.bmp,i01_08_2.bmp,8,2,0.13314,4.47222,0.02797626,0.05806273,8.349743,6.7593941689,2.508492,1.487927,1.65654,2.376802,3.492132
