ref_img,dist_img,dst_type,dst_lev,var,dmos,DSSIM,SSIMULACRA,Butteraugli,Butteraugli_XL,Butteraugli_XL_3m,Butteraugli_XL_2s,Butteraugli_XL_3s,Butteraugli_XL_6s,Butteraugli_XL_12s
I01.png,I01_01_01.png,1,1,0.496,4.57,9e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I01.png,I01_01_02.png,1,2,0.8690000000000001,4.33,0.00166212,0.00450713,2.8022240000000003,2.1300225258,0.720928,0.385406,0.48284,0.696491,0.983453
I01.png,I01_01_03.png,1,3,0.789,2.67,0.01613504,0.03753208,7.665486,6.9708414078,2.35608,1.401919,1.675857,2.297824,3.094558
I01.png,I01_01_04.png,1,4,0.596,1.67,0.06049809,0.10263674,20.763908,18.1778736115,6.171156,3.62208,4.315182,5.997163,8.201122
I01.png,I01_01_05.png,1,5,0.3,1.1,0.21840508,0.21863561,102.249138,67.1470947266,25.486602,14.957075,16.993355,24.235115,35.231338
I01.png,I01_02_01.png,2,1,0.86,3.83,0.005543,0.01547433,4.804111,3.8715186119,1.334463,0.741515,0.910804,1.294219,1.798365
I01.png,I01_02_02.png,2,2,0.772,2.27,0.0227769,0.0525638,9.410625,8.6325359344,2.918281,1.732395,2.068579,2.84221,3.844053
I01.png,I01_02_03.png,2,3,0.67,1.53,0.08468599,0.13476731,31.486794,26.6064987183,8.757547,4.689322,5.71901,8.377599,12.176031
I01.png,I01_02_04.png,2,4,0.418,1.23,0.15764263,0.19467597,69.79451,52.7043533325,18.234686,9.811865,11.47624,17.178154,26.049664
I01.png,I01_02_05.png,2,5,0.4,1.2,0.23245389,0.23299708,101.76149,72.6239776611,25.740384,14.580146,16.653688,24.23678,36.330683
I01.png,I01_03_01.png,3,1,0.442,4.73,9e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I01.png,I01_03_02.png,3,2,0.657,3.97,0.00482861,0.0133893,4.874586,4.2406859398,1.394757,0.682952,0.879428,1.337915,1.966927
I01.png,I01_03_03.png,3,3,0.936,2.7,0.02037182,0.04485497,10.448915,9.4662427902,3.002089,1.573788,1.943781,2.849952,4.212536
I01.png,I01_03_04.png,3,4,0.795,2.03,0.041511800000000015,0.07635275,18.483757,16.0965919495,5.216968,2.503417,3.129995,4.856563,7.664345
I01.png,I01_03_05.png,3,5,0.5,1.5,0.11227971,0.14903728,60.045895,40.8399887085,13.755536,5.667309,7.594997,13.038506,20.633105
I01.png,I01_04_01.png,4,1,0.512,4.73,0.00157135,0.00935221,3.556882,3.8521265984,1.076828,0.435018,0.582084,0.990286,1.658114
I01.png,I01_04_02.png,4,2,1.035,2.17,0.11052712,0.08937897,51.578869,54.2685508728,35.285841,31.43316,32.491226,34.923505,38.442793
I01.png,I01_04_03.png,4,3,0.547,1.37,0.19880251,0.16768808,65.367409,87.7417144775,45.32034,36.22548,38.159259,44.299113,53.502648
I01.png,I01_04_04.png,4,4,0.619,1.5,0.29478719,0.2275579,58.297043,103.4101791382,55.257033,43.003882,46.415718,55.169378,64.186002
I01.png,I01_04_05.png,4,5,0.8059999999999999,1.47,0.59458877,0.36277559,178.520203,299.9306030273,167.683411,98.863742,120.742789,168.46597,213.841473
I01.png,I01_05_01.png,5,1,0.856,4.0,0.01812171,0.05015918,21.600649,13.3878297806,4.221171,1.663279,2.423628,4.076423,6.16346
I01.png,I01_05_02.png,5,2,0.909,2.2,0.06096088,0.09409126,39.743195,29.7459659576,9.538325,3.518854,5.170045,9.039749,14.405181
I01.png,I01_05_03.png,5,3,0.5589999999999999,1.57,0.09243023,0.11308843,57.298561,45.9518127441,13.8666,4.749231,7.088936,12.988879,21.521985
