ref_img,dist_img,dst_type,dst_lev,mos
avion,avion_j2000_r1,j2000,1,4.69231
avion,avion_j2000_r2,j2000,2,4.26923
avion,avion_j2000_r3,j2000,3,3.30769
avion,avion_j2000_r4,j2000,4,2.80769
avion,avion_j2000_r5,j2000,5,2.0
avion,avion_jpeg_r1,jpeg,1,4.26923
avion,avion_jpeg_r2,jpeg,2,3.34615
avion,avion_jpeg_r3,jpeg,3,2.57692
avion,avion_jpeg_r4,jpeg,4,1.88462
avion,avion_jpeg_r5,jpeg,5,1.38462
barba,barba_flou_f1,flou,1,4.423080000000001
barba,barba_flou_f2,flou,2,3.30769
barba,barba_flou_f3,flou,3,2.4615400000000003
barba,barba_flou_f4,flou,4,1.46154
barba,barba_flou_f5,flou,5,1.11538
barba,barba_j2000_r1,j2000,1,4.576919999999999
barba,barba_j2000_r2,j2000,2,3.65385
barba,barba_j2000_r3,j2000,3,2.26923
barba,barba_j2000_r4,j2000,4,1.03846
barba,barba_j2000_r5,j2000,5,1.0
barba,barba_jpeg_lumichr_r1,jpeg_lumichr,1,4.46154
barba,barba_jpeg_lumichr_r2,jpeg_lumichr,2,3.7307699999999997
barba,barba_jpeg_lumichr_r3,jpeg_lumichr,3,2.42308
barba,barba_jpeg_lumichr_r4,jpeg_lumichr,4,1.38462
barba,barba_jpeg_lumichr_r5,jpeg_lumichr,5,1.07692
barba,barba_jpeg_r1,jpeg,1,4.0
barba,barba_jpeg_r2,jpeg,2,3.34615
barba,barba_jpeg_r3,jpeg,3,2.38462
barba,barba_jpeg_r4,jpeg,4,1.6923099999999998
barba,barba_jpeg_r5,jpeg,5,1.07692
barba,barba_lar_r1,lar,1,1.19231
barba,barba_lar_r2,lar,2,2.0
barba,barba_lar_r3,lar,3,3.0
barba,barba_lar_r4,lar,4,3.7692300000000003
barba,barba_lar_r5,lar,5,3.8846199999999995
boats,boats_flou_f1,flou,1,4.076919999999999
boats,boats_flou_f2,flou,2,2.92308
boats,boats_flou_f3,flou,3,2.5
boats,boats_flou_f4,flou,4,1.30769
boats,boats_flou_f5,flou,5,1.03846
boats,boats_j2000_r1,j2000,1,4.576919999999999
boats,boats_j2000_r2,j2000,2,4.15385
boats,boats_j2000_r3,j2000,3,3.19231
boats,boats_j2000_r4,j2000,4,2.34615
boats,boats_j2000_r5,j2000,5,1.19231
boats,boats_jpeg_r1,jpeg,1,4.30769
boats,boats_jpeg_r2,jpeg,2,4.076919999999999
boats,boats_jpeg_r3,jpeg,3,2.57692
boats,boats_jpeg_r4,jpeg,4,1.88462
boats,boats_jpeg_r5,jpeg,5,1.15385
boats,boats_lar_r1,lar,1,1.42308
boats,boats_lar_r2,lar,2,2.76923
boats,boats_lar_r3,lar,3,3.07692
boats,boats_lar_r4,lar,4,4.15385
boats,boats_lar_r5,lar,5,4.69231
clown,clown_j2000_r1,j2000,1,4.88462
clown,clown_j2000_r2,j2000,2,4.15385
clown,clown_j2000_r3,j2000,3,3.65385
clown,clown_j2000_r4,j2000,4,2.69231
clown,clown_j2000_r5,j2000,5,1.2307700000000001
clown,clown_jpeg_lumichr_r1,jpeg_lumichr,1,4.46154
clown,clown_jpeg_lumichr_r2,jpeg_lumichr,2,3.57692
clown,clown_jpeg_lumichr_r3,jpeg_lumichr,3,2.5
clown,clown_jpeg_lumichr_r4,jpeg_lumichr,4,1.7692299999999999
clown,clown_jpeg_lumichr_r5,jpeg_lumichr,5,1.07692
clown,clown_jpeg_r1,jpeg,1,4.34615
clown,clown_jpeg_r2,jpeg,2,3.65385
clown,clown_jpeg_r3,jpeg,3,2.92308
clown,clown_jpeg_r4,jpeg,4,1.53846
clown,clown_jpeg_r5,jpeg,5,1.38462
clown,clown_lar_r1,lar,1,1.2692299999999999
clown,clown_lar_r2,lar,2,2.0384599999999997
clown,clown_lar_r3,lar,3,3.0
clown,clown_lar_r4,lar,4,4.11538
clown,clown_lar_r5,lar,5,4.34615
fruit,fruit_flou_f1,flou,1,3.9615400000000003
fruit,fruit_flou_f2,flou,2,2.19231
fruit,fruit_flou_f3,flou,3,1.7307700000000001
fruit,fruit_flou_f4,flou,4,1.42308
fruit,fruit_flou_f5,flou,5,1.19231
fruit,fruit_j2000_r1,j2000,1,4.65385
fruit,fruit_j2000_r2,j2000,2,3.9615400000000003
fruit,fruit_j2000_r3,j2000,3,3.11538
fruit,fruit_j2000_r4,j2000,4,1.88462
fruit,fruit_j2000_r5,j2000,5,1.19231
fruit,fruit_jpeg_lumichr_r1,jpeg_lumichr,1,4.576919999999999
fruit,fruit_jpeg_lumichr_r2,jpeg_lumichr,2,4.23077
fruit,fruit_jpeg_lumichr_r3,jpeg_lumichr,3,3.34615
fruit,fruit_jpeg_lumichr_r4,jpeg_lumichr,4,2.19231
fruit,fruit_jpeg_lumichr_r5,jpeg_lumichr,5,1.5
fruit,fruit_jpeg_r1,jpeg,1,4.26923
fruit,fruit_jpeg_r2,jpeg,2,3.8846199999999995
fruit,fruit_jpeg_r3,jpeg,3,3.23077
fruit,fruit_jpeg_r4,jpeg,4,1.6923099999999998
fruit,fruit_jpeg_r5,jpeg,5,1.11538
fruit,fruit_lar_r1,lar,1,1.96154
fruit,fruit_lar_r2,lar,2,3.3846199999999995
fruit,fruit_lar_r3,lar,3,3.7692300000000003
fruit,fruit_lar_r4,lar,4,4.30769
fruit,fruit_lar_r5,lar,5,4.423080000000001
house,house_j2000_r1,j2000,1,4.65385
house,house_j2000_r2,j2000,2,4.26923
house,house_j2000_r3,j2000,3,3.42308
house,house_j2000_r4,j2000,4,2.11538
house,house_j2000_r5,j2000,5,1.15385
house,house_jpeg_r1,jpeg,1,4.69231
house,house_jpeg_r2,jpeg,2,4.03846
