ref_img,dist_img,dst_type,dst_lev,mos,DSSIM,SSIMULACRA,Butteraugli
avion,avion_j2000_r1,j2000,1,4.69231,0.0094679,0.046573,4.320238
avion,avion_j2000_r2,j2000,2,4.26923,0.02742083,0.07424561,8.403484
avion,avion_j2000_r3,j2000,3,3.30769,0.05061831,0.09822148,16.830957
avion,avion_j2000_r4,j2000,4,2.80769,0.06261183,0.10861972,17.045214
avion,avion_j2000_r5,j2000,5,2.0,0.11827823,0.15085231,24.638186
avion,avion_jpeg_r1,jpeg,1,4.26923,0.02638638,0.08484123,9.596254
avion,avion_jpeg_r2,jpeg,2,3.34615,0.03439245,0.09509682,9.35316
avion,avion_jpeg_r3,jpeg,3,2.57692,0.05346617,0.11995413,9.955574
avion,avion_jpeg_r4,jpeg,4,1.88462,0.07248699,0.13994882,11.228044
avion,avion_jpeg_r5,jpeg,5,1.38462,0.09694586,0.15571896,13.753677
barba,barba_flou_f1,flou,1,4.4230800000000015,0.01696327,0.04678822,7.945284
barba,barba_flou_f2,flou,2,3.30769,0.07680909,0.17351653,15.939883
barba,barba_flou_f3,flou,3,2.4615400000000003,0.13197301,0.23581231,20.660793
barba,barba_flou_f4,flou,4,1.46154,0.1744988,0.25449555,56.515373
barba,barba_flou_f5,flou,5,1.11538,0.20833511,0.28183174,67.540916
barba,barba_j2000_r1,j2000,1,4.5769199999999985,0.01312734,0.05652168,5.939226
barba,barba_j2000_r2,j2000,2,3.65385,0.02757186,0.07409277,8.221597
barba,barba_j2000_r3,j2000,3,2.26923,0.05642289,0.10694289,11.888094
barba,barba_j2000_r4,j2000,4,1.03846,0.09941196,0.1432786,20.318699
barba,barba_j2000_r5,j2000,5,1.0,0.19458892,0.241231,30.263517
barba,barba_jpeg_lumichr_r1,jpeg_lumichr,1,4.46154,0.01751235,0.06207538,4.043189
barba,barba_jpeg_lumichr_r2,jpeg_lumichr,2,3.73077,0.03143722,0.08538216,5.875201
barba,barba_jpeg_lumichr_r3,jpeg_lumichr,3,2.42308,0.06396934,0.1273089,8.620739
barba,barba_jpeg_lumichr_r4,jpeg_lumichr,4,1.38462,0.10933699,0.16896853,12.614276
barba,barba_jpeg_lumichr_r5,jpeg_lumichr,5,1.07692,0.15411485,0.1930241,15.551492
barba,barba_jpeg_r1,jpeg,1,4.0,0.02815839,0.0883481,5.752624
barba,barba_jpeg_r2,jpeg,2,3.34615,0.04534268,0.11571679,7.814035
barba,barba_jpeg_r3,jpeg,3,2.38462,0.07685012,0.1522259,11.006865
barba,barba_jpeg_r4,jpeg,4,1.6923099999999998,0.107346,0.17948088,11.535272
barba,barba_jpeg_r5,jpeg,5,1.07692,0.16693633,0.21787057,18.076923
barba,barba_lar_r1,lar,1,1.19231,0.15431557,0.23035332,25.217024
barba,barba_lar_r2,lar,2,2.0,0.07841533,0.16930786,16.673365
barba,barba_lar_r3,lar,3,3.0,0.06327842,0.14556271,16.060389
barba,barba_lar_r4,lar,4,3.76923,0.03013775,0.0877423,9.513902
barba,barba_lar_r5,lar,5,3.88462,0.02614725,0.07540866,9.959966
boats,boats_flou_f1,flou,1,4.0769199999999985,0.01710035,0.06211921,13.127669
boats,boats_flou_f2,flou,2,2.92308,0.03665946,0.10713705,17.016466
boats,boats_flou_f3,flou,3,2.5,0.0602957,0.14679248,19.604143
boats,boats_flou_f4,flou,4,1.30769,0.14665221,0.23579067,31.022779
boats,boats_flou_f5,flou,5,1.03846,0.20127597,0.26839541,49.402901
boats,boats_j2000_r1,j2000,1,4.5769199999999985,0.01649744,0.06009659,5.322291
boats,boats_j2000_r2,j2000,2,4.15385,0.03036489,0.09607596,9.952697
boats,boats_j2000_r3,j2000,3,3.19231,0.05408825,0.13448026,11.519117
boats,boats_j2000_r4,j2000,4,2.34615,0.07998843,0.18032868,14.880284
boats,boats_j2000_r5,j2000,5,1.19231,0.14260956,0.22745912,32.12405
boats,boats_jpeg_r1,jpeg,1,4.30769,0.02214767,0.08129967,6.393222
boats,boats_jpeg_r2,jpeg,2,4.0769199999999985,0.03057398,0.09575747,6.295121
boats,boats_jpeg_r3,jpeg,3,2.57692,0.05183224,0.12458093,7.895019
boats,boats_jpeg_r4,jpeg,4,1.88462,0.07236257,0.14827641,10.91924
boats,boats_jpeg_r5,jpeg,5,1.15385,0.1062257,0.18491914,12.847572
boats,boats_lar_r1,lar,1,1.42308,0.12075032,0.22859157,22.613621
boats,boats_lar_r2,lar,2,2.76923,0.06188073,0.16427719,17.265667
boats,boats_lar_r3,lar,3,3.07692,0.05425815,0.1569087,17.268682
boats,boats_lar_r4,lar,4,4.15385,0.02779795,0.10944388,6.369104
boats,boats_lar_r5,lar,5,4.69231,0.02246646,0.079424,6.487271
clown,clown_j2000_r1,j2000,1,4.88462,0.01052074,0.04391239,5.192887
clown,clown_j2000_r2,j2000,2,4.15385,0.03201702,0.08007931,10.027822
clown,clown_j2000_r3,j2000,3,3.65385,0.04553474,0.09571215,12.8154
clown,clown_j2000_r4,j2000,4,2.69231,0.0790824,0.16014145,18.536633
clown,clown_j2000_r5,j2000,5,1.23077,0.15697434,0.23757226,32.292969
clown,clown_jpeg_lumichr_r1,jpeg_lumichr,1,4.46154,0.01649736,0.06394545,5.35294
clown,clown_jpeg_lumichr_r2,jpeg_lumichr,2,3.57692,0.02844032,0.09055594,6.219196
clown,clown_jpeg_lumichr_r3,jpeg_lumichr,3,2.5,0.05912158,0.14919118,9.367762
clown,clown_jpeg_lumichr_r4,jpeg_lumichr,4,1.76923,0.08343494,0.17414985,11.412261
clown,clown_jpeg_lumichr_r5,jpeg_lumichr,5,1.07692,0.15331771,0.21655478,16.438581
clown,clown_jpeg_r1,jpeg,1,4.34615,0.03126672,0.09260552,12.083711
clown,clown_jpeg_r2,jpeg,2,3.65385,0.05504073,0.12683426,17.537247
clown,clown_jpeg_r3,jpeg,3,2.92308,0.07856957,0.15758639,19.292192
clown,clown_jpeg_r4,jpeg,4,1.53846,0.13436752,0.22547217,25.519068
clown,clown_jpeg_r5,jpeg,5,1.38462,0.15390426,0.2313809,26.400787
clown,clown_lar_r1,lar,1,1.26923,0.15283596,0.25695416,42.339134
clown,clown_lar_r2,lar,2,2.03846,0.0701835,0.18945814,16.167786
clown,clown_lar_r3,lar,3,3.0,0.0562524,0.17805562,16.36746
clown,clown_lar_r4,lar,4,4.11538,0.03021557,0.09120628,11.084887
clown,clown_lar_r5,lar,5,4.34615,0.02819136,0.08656269,11.093866
fruit,fruit_flou_f1,flou,1,3.96154,0.02521637,0.03559795,20.565115
fruit,fruit_flou_f2,flou,2,2.19231,0.10816049,0.11820817,31.571745
fruit,fruit_flou_f3,flou,3,1.73077,0.18124967,0.17845053,38.110481
fruit,fruit_flou_f4,flou,4,1.42308,0.28733679,0.2412371,68.198967
fruit,fruit_flou_f5,flou,5,1.19231,0.42892403,0.30017584,116.048828
fruit,fruit_j2000_r1,j2000,1,4.65385,0.00599383,0.02314646,3.506031
fruit,fruit_j2000_r2,j2000,2,3.96154,0.02179667,0.05251743,6.982899
fruit,fruit_j2000_r3,j2000,3,3.11538,0.04660781,0.08577515,11.52191
fruit,fruit_j2000_r4,j2000,4,1.88462,0.11368736,0.14079641,28.548441
fruit,fruit_j2000_r5,j2000,5,1.19231,0.17988665,0.19780145,50.37476
fruit,fruit_jpeg_lumichr_r1,jpeg_lumichr,1,4.5769199999999985,0.01131432,0.06676422,6.203131
fruit,fruit_jpeg_lumichr_r2,jpeg_lumichr,2,4.23077,0.01757513,0.05611488,8.257031
fruit,fruit_jpeg_lumichr_r3,jpeg_lumichr,3,3.34615,0.04382624,0.0935719,11.985137
fruit,fruit_jpeg_lumichr_r4,jpeg_lumichr,4,2.19231,0.08108,0.11595463,14.336095
fruit,fruit_jpeg_lumichr_r5,jpeg_lumichr,5,1.5,0.11621856,0.14843059,16.437197
fruit,fruit_jpeg_r1,jpeg,1,4.26923,0.01882463,0.05550453,5.599515
fruit,fruit_jpeg_r2,jpeg,2,3.88462,0.02777676,0.07187636,10.164173
fruit,fruit_jpeg_r3,jpeg,3,3.23077,0.04817429,0.09571352,9.075072
fruit,fruit_jpeg_r4,jpeg,4,1.6923099999999998,0.10289577,0.14650049,15.005526
