refnames_all,orgs,dist_img,dst_type,dmos_std,dmos_new,DSSIM,SSIMULACRA,Butteraugli
studentsculpture.bmp,0,img2.bmp,jp2k,1.6294556597749836,15.512954417537028,0.01763532,0.05166256,5.239697
rapids.bmp,0,img3.bmp,jp2k,1.7384717298751982,24.09025497677203,0.04307353,0.09607274,9.70814
dancers.bmp,0,img4.bmp,jp2k,2.6202145100126977,68.99086164929872,0.16262377,0.24191475,20.348846
churchandcapitol.bmp,0,img5.bmp,jp2k,2.1280246055850447,74.39794796497739,0.17280866,0.22068511,38.47673
dancers.bmp,0,img6.bmp,jp2k,2.4234375332095834,69.2292141708657,0.1862331,0.25578508,26.245106
churchandcapitol.bmp,0,img7.bmp,jp2k,2.2871613424573773,53.57873192014601,0.0671931,0.13879065,18.275185
stream.bmp,0,img8.bmp,jp2k,2.9727376233002434,39.37667556675135,0.08828868,0.15658205,10.133242
woman.bmp,0,img10.bmp,jp2k,1.8976515719886171,43.42259860497224,0.08996802,0.15143932,12.403571
sailing3.bmp,0,img12.bmp,jp2k,2.8491496202582303,34.802951811201964,0.02791769,0.07390455,8.247186
buildings.bmp,0,img13.bmp,jp2k,1.9798755741482426,46.684096124058215,0.09917354,0.18075303,15.513494
paintedhouse.bmp,0,img14.bmp,jp2k,2.89653390984239,45.67949064903939,0.07743811,0.12457176,10.855099
bikes.bmp,0,img15.bmp,jp2k,2.0934379590624377,12.692083542828541,0.01319832,0.03985838,4.966112
stream.bmp,0,img17.bmp,jp2k,2.3035207833041254,65.23107378633902,0.15367056,0.23191135,21.350542
carnivaldolls.bmp,0,img18.bmp,jp2k,2.1281480218326507,29.39224918059548,0.02087636,0.056367,7.52129
sailing1.bmp,0,img19.bmp,jp2k,1.7382838028873744,3.8890621428635583,0.00234899,0.01312955,2.056422
coinsinfountain.bmp,0,img21.bmp,jp2k,2.415602535276761,22.461157863083844,0.03872951,0.08679807,7.849086
woman.bmp,0,img23.bmp,jp2k,2.204276955827919,35.59966912005858,0.05628472,0.11804957,8.748575
manfishing.bmp,0,img26.bmp,jp2k,1.5336433982143336,11.714566786308875,0.00308886,0.01590231,1.945832
house.bmp,0,img27.bmp,jp2k,2.3058602871669107,48.4017211733363,0.09058894,0.17428474,13.103962
