ref_img,dist_img,dst_type,dst_lev,var,mos,DSSIM,SSIMULACRA,Butteraugli
I01.bmp,I01_01_1.bmp,1,1,0.13013,5.51429,0.01005874,0.08761756,3.9517379999999998
i01.bmp,i01_01_2.bmp,1,2,0.16008,5.56757,0.01961344,0.13795776,4.867879
i01.bmp,i01_01_3.bmp,1,3,0.15186,4.94444,0.03817037,0.20001629,7.868256
i01.bmp,i01_01_4.bmp,1,4,0.11046,4.37838,0.07115358,0.26930024,9.7787
i01.bmp,i01_01_5.bmp,1,5,0.10229,3.86486,0.12932978,0.34606114,11.517676
i01.bmp,i01_02_1.bmp,2,1,0.16896,6.0285699999999975,0.00321092,0.04731645,2.8660200000000002
i01.bmp,i01_02_2.bmp,2,2,0.17001,6.10811,0.00626751,0.07561106,3.908411
i01.bmp,i01_02_3.bmp,2,3,0.16795,5.38889,0.01259493,0.11500601,5.149551
i01.bmp,i01_02_4.bmp,2,4,0.10358,4.71429,0.02416556,0.16596576,6.75188
i01.bmp,i01_02_5.bmp,2,5,0.13695,4.36111,0.04672922,0.22554156,9.406487
i01.bmp,i01_03_1.bmp,3,1,0.12832000000000002,4.7714300000000005,0.02670985,0.08080094,6.9927660000000005
i01.bmp,i01_03_2.bmp,3,2,0.13594,4.27027,0.05463738,0.13023171,10.847031
i01.bmp,i01_03_3.bmp,3,3,0.10719,3.7027,0.10313283,0.19493457,13.844667999999999
i01.bmp,i01_03_4.bmp,3,4,0.09477,3.19444,0.19834343,0.27253404,24.041849
i01.bmp,i01_03_5.bmp,3,5,0.09537,2.71429,0.36577077,0.36240461,29.811103999999997
i01.bmp,i01_04_1.bmp,4,1,0.13694,5.9714300000000025,0.00375783,0.04677576,2.669578
i01.bmp,i01_04_2.bmp,4,2,0.15946,5.75676,0.00743216,0.07059414,3.514735
i01.bmp,i01_04_3.bmp,4,3,0.17368,5.27027,0.01463592,0.10375016,4.986314
i01.bmp,i01_04_4.bmp,4,4,0.16398,5.24324,0.02695459,0.14470460000000002,7.434830000000001
i01.bmp,i01_04_5.bmp,4,5,0.13138,4.71429,0.05424745,0.20875539,11.682447999999999
i01.bmp,i01_05_1.bmp,5,1,0.15934,5.91892,0.00620286,0.08807532,3.938915
i01.bmp,i01_05_2.bmp,5,2,0.17035999999999998,5.7027,0.01195209,0.13632294,5.166904
i01.bmp,i01_05_3.bmp,5,3,0.13249,5.08333,0.03393195,0.23694039,8.123264
i01.bmp,i01_05_4.bmp,5,4,0.09744,4.13889,0.09170503,0.35549641,13.226676999999999
i01.bmp,i01_05_5.bmp,5,5,0.09744,3.13889,0.24513048,0.50062047,22.841704999999997
i01.bmp,i01_06_1.bmp,6,1,0.11467,4.0,0.03045731,0.04881103,21.284433
i01.bmp,i01_06_2.bmp,6,2,0.16566,3.89189,0.056914199999999984,0.08412997,24.364035
i01.bmp,i01_06_3.bmp,6,3,0.10570999999999996,3.72973,0.08734086,0.13558312,21.232429999999997
i01.bmp,i01_06_4.bmp,6,4,0.08448,3.48571,0.14065774,0.21023455,28.744339
i01.bmp,i01_06_5.bmp,6,5,0.11072,2.94444,0.22512424,0.31288332,30.284304
i01.bmp,i01_07_1.bmp,7,1,0.15404,5.08333,0.01338481,0.08777239,7.206114
i01.bmp,i01_07_2.bmp,7,2,0.13249,4.75,0.02725365,0.10114818,14.896879
i01.bmp,i01_07_3.bmp,7,3,0.11111,4.0,0.05643568,0.13524604,13.550863
i01.bmp,i01_07_4.bmp,7,4,0.11188,3.22222,0.10061713,0.18611909,19.112251
i01.bmp,i01_07_5.bmp,7,5,0.11666,2.19444,0.20317607,0.27906281,30.306156
i01.bmp,i01_08_1.bmp,8,1,0.13151,5.18919,0.00844898,0.01894565,4.54563
i01.bmp,i01_08_2.bmp,8,2,0.13314,4.47222,0.02797626,0.05806273,8.349743
i01.bmp,i01_08_3.bmp,8,3,0.11855999999999994,3.4864900000000003,0.08527488,0.14251935,13.573232999999998
i01.bmp,i01_08_4.bmp,8,4,0.09035,3.0,0.21894756,0.26205827,20.100443
i01.bmp,i01_08_5.bmp,8,5,0.10956,2.11111,0.50577435,0.37770844,59.365616
i01.bmp,i01_09_1.bmp,9,1,0.18162,6.08333,0.01510204,0.06113798,4.046405
