ref_img,dist_img,dst_type,dst_lev,var,dmos,DSSIM,SSIMULACRA,Butteraugli
I01.png,I01_01_01.png,1,1,0.496,4.57,9e-08,0.0,0.0
I01.png,I01_01_02.png,1,2,0.8690000000000001,4.33,0.00166212,0.00450713,2.8022240000000003
I01.png,I01_01_03.png,1,3,0.789,2.67,0.01613504,0.03753208,7.6654860000000005
I01.png,I01_01_04.png,1,4,0.596,1.67,0.06049809,0.10263674,20.763907999999997
I01.png,I01_01_05.png,1,5,0.3,1.1,0.21840508,0.21863561,102.249138
I01.png,I01_02_01.png,2,1,0.86,3.83,0.005543,0.01547433,4.804111
I01.png,I01_02_02.png,2,2,0.772,2.27,0.0227769,0.0525638,9.410625
I01.png,I01_02_03.png,2,3,0.67,1.53,0.08468599,0.13476731,31.486794
I01.png,I01_02_04.png,2,4,0.418,1.23,0.15764263,0.19467597,69.79451
I01.png,I01_02_05.png,2,5,0.4,1.2,0.23245389,0.23299708,101.76149000000001
I01.png,I01_03_01.png,3,1,0.442,4.73,9e-08,0.0,0.0
I01.png,I01_03_02.png,3,2,0.657,3.97,0.00482861,0.0133893,4.874586
I01.png,I01_03_03.png,3,3,0.9359999999999999,2.7,0.02037182,0.04485497,10.448915
I01.png,I01_03_04.png,3,4,0.795,2.03,0.04151180000000001,0.07635275,18.483757
I01.png,I01_03_05.png,3,5,0.5,1.5,0.11227971,0.14903728,60.045894999999994
I01.png,I01_04_01.png,4,1,0.512,4.73,0.00157135,0.00935221,3.556882
I01.png,I01_04_02.png,4,2,1.035,2.17,0.11052712,0.08937897,51.578869
I01.png,I01_04_03.png,4,3,0.547,1.37,0.19880251,0.16768808,65.367409
I01.png,I01_04_04.png,4,4,0.619,1.5,0.29478719,0.22755789999999998,58.297043
I01.png,I01_04_05.png,4,5,0.8059999999999999,1.47,0.59458877,0.36277559,178.520203
I01.png,I01_05_01.png,5,1,0.856,4.0,0.01812171,0.05015918,21.600649
I01.png,I01_05_02.png,5,2,0.909,2.2,0.06096088,0.09409126,39.743195
I01.png,I01_05_03.png,5,3,0.5589999999999999,1.57,0.09243023,0.11308843,57.298561
I01.png,I01_05_04.png,5,4,0.537,1.33,0.09876009,0.10988164,60.299866
I01.png,I01_05_05.png,5,5,0.611,1.6,0.09439595,0.10741027,54.724686
I01.png,I01_06_01.png,6,1,0.7609999999999999,4.23,0.01785893,0.15908815,10.190348
I01.png,I01_06_02.png,6,2,0.5539999999999999,4.4,0.02354517,0.19006788,13.338642000000002
I01.png,I01_06_03.png,6,3,0.943,3.9,0.03027612,0.21756141,12.982463000000001
I01.png,I01_06_04.png,6,4,0.831,2.9,0.06006422,0.27478594,18.683397
I01.png,I01_06_05.png,6,5,0.929,2.27,0.12278442,0.35836183,31.329159000000004
I01.png,I01_07_01.png,7,1,1.123,2.73,0.05743849,0.05750689999999999,46.227321999999994
I01.png,I01_07_02.png,7,2,1.025,2.5,0.10217569,0.09308876,60.275978
I01.png,I01_07_03.png,7,3,1.062,2.27,0.12985124,0.11302047,68.161652
I01.png,I01_07_04.png,7,4,1.147,2.47,0.16062539,0.1340178,77.279976
I01.png,I01_07_05.png,7,5,0.945,2.2,0.29329686,0.20139494,93.76400799999999
I01.png,I01_08_01.png,8,1,0.45799999999999996,4.7,9e-08,0.0,0.0
I01.png,I01_08_02.png,8,2,0.616,3.77,0.05187681,0.03468114,37.410709000000004
I01.png,I01_08_03.png,8,3,1.062,2.73,0.12100604,0.09293813,48.847878
I01.png,I01_08_04.png,8,4,0.912,1.97,0.2008319,0.16246017,62.297709999999995
I01.png,I01_08_05.png,8,5,0.6990000000000001,1.67,0.60179517,0.34534239,63.634308
I01.png,I01_09_01.png,9,1,0.49,4.6,0.00244751,0.01235269,1.876021
I01.png,I01_09_02.png,9,2,0.537,4.67,0.00954221,0.02988934,4.684529
I01.png,I01_09_03.png,9,3,0.611,4.4,0.01643425,0.04456427,6.144916
I01.png,I01_09_04.png,9,4,1.044,2.9,0.06396203,0.10707091,15.033719
I01.png,I01_09_05.png,9,5,0.547,1.37,0.18507659,0.19055657,36.165283
I01.png,I01_10_01.png,10,1,0.657,4.37,0.01478302,0.04877225,4.004726
I01.png,I01_10_02.png,10,2,0.8540000000000001,3.93,0.01744101,0.05433543,5.075951
I01.png,I01_10_03.png,10,3,0.8029999999999999,3.77,0.02879016,0.07069551,5.738486
I01.png,I01_10_04.png,10,4,0.555,1.58,0.14697314,0.17839153,15.155613
I01.png,I01_10_05.png,10,5,0.373,1.17,0.30845732,0.24827058,27.124321000000002
I01.png,I01_11_01.png,11,1,0.948,4.03,0.03015646,0.20500986,6.459996
I01.png,I01_11_02.png,11,2,0.8140000000000001,3.27,0.05680896,0.29136795,8.628051
I01.png,I01_11_03.png,11,3,0.745,2.67,0.08115261,0.34648752,11.071486
I01.png,I01_11_04.png,11,4,0.772,2.27,0.12361126,0.4112545,14.013556
I01.png,I01_11_05.png,11,5,0.752,2.37,0.21282112,0.49665453,17.952196
I01.png,I01_12_01.png,12,1,0.5589999999999999,4.43,0.00864608,0.08101285,3.6890660000000004
I01.png,I01_12_02.png,12,2,0.69,3.7,0.03952417,0.24034264,8.049412
I01.png,I01_12_03.png,12,3,0.883,2.77,0.07181464,0.32980269,10.391421000000001
I01.png,I01_12_04.png,12,4,0.836,2.37,0.13061798,0.42390332,15.512749
I01.png,I01_12_05.png,12,5,0.547,1.97,0.1765485,0.47334744,17.972843
I01.png,I01_13_01.png,13,1,0.789,3.67,0.02532771,0.03481425,22.975920000000002
I01.png,I01_13_02.png,13,2,1.087,2.87,0.11099788,0.11092365,30.511791
I01.png,I01_13_03.png,13,3,0.6629999999999999,2.6,0.17714719,0.18594242,41.786083000000005
I01.png,I01_13_04.png,13,4,0.727,2.07,0.28544808,0.3029364,45.641998
I01.png,I01_13_05.png,13,5,0.657,2.03,0.37840899,0.37993683,58.923759
I01.png,I01_14_01.png,14,1,0.616,4.57,0.00744263,0.08594057,4.177089
I01.png,I01_14_02.png,14,2,1.023,3.57,0.03397266,0.23455957,9.436544
I01.png,I01_14_03.png,14,3,0.846,3.13,0.06190565,0.31964792,11.366922
I01.png,I01_14_04.png,14,4,0.764,2.5,0.10945260000000001,0.40444732,17.525385
I01.png,I01_14_05.png,14,5,0.68,2.27,0.21558701,0.51962222,24.452827
I01.png,I01_15_01.png,15,1,0.9890000000000001,3.57,0.04863673,0.10327084,11.267862
I01.png,I01_15_02.png,15,2,0.912,2.63,0.09434016,0.16220758,15.636145999999998
I01.png,I01_15_03.png,15,3,0.607,1.77,0.13941132,0.21079934,18.230373
I01.png,I01_15_04.png,15,4,0.49,1.4,0.27246915,0.33888121,25.405348
I01.png,I01_15_05.png,15,5,0.47100000000000003,1.33,0.42951688,0.45194391,37.282986
I01.png,I01_16_01.png,16,1,0.547,4.37,0.00289989,0.00525975,6.618933999999999
I01.png,I01_16_02.png,16,2,0.562,4.47,0.01068251,0.01620848,13.446441
I01.png,I01_16_03.png,16,3,0.504,3.94,0.03942918,0.04828253,21.754139000000002
I01.png,I01_16_04.png,16,4,0.898,3.17,0.12106760000000001,0.1176364,37.667213000000004
I01.png,I01_16_05.png,16,5,0.7959999999999999,2.18,0.35185524,0.25541624,82.971809
I01.png,I01_17_01.png,17,1,0.5,4.5,0.00080713,0.001716,3.112742
I01.png,I01_17_02.png,17,2,0.496,4.57,0.00334101,0.00680353,6.051776
I01.png,I01_17_03.png,17,3,0.596,4.33,0.01365277,0.02897442,11.579577
I01.png,I01_17_04.png,17,4,0.879,3.4,0.06601963,0.14183435,24.203201
I01.png,I01_17_05.png,17,5,0.846,2.13,0.398816,0.53034702,60.259108999999995
I01.png,I01_18_01.png,18,1,0.5,4.5,0.011054999999999999,0.01191254,12.699904
I01.png,I01_18_02.png,18,2,0.496,4.57,0.00286947,0.00373428,6.825953999999999
I01.png,I01_18_03.png,18,3,0.496,4.57,9e-08,0.0,0.0
I01.png,I01_18_04.png,18,4,0.795,4.37,0.00787613,0.04997751,9.563739
I01.png,I01_18_05.png,18,5,0.657,3.97,0.0324157,0.12247924,19.527931
I01.png,I01_19_01.png,19,1,0.499,4.53,0.0024094,0.00878284,3.8957319999999998
I01.png,I01_19_02.png,19,2,0.727,3.93,0.0059827,0.01824011,5.5915040000000005
I01.png,I01_19_03.png,19,3,0.8029999999999999,2.77,0.02662685,0.05640817,13.520945000000001
I01.png,I01_19_04.png,19,4,0.562,1.53,0.05500735,0.10911188,20.112867
I01.png,I01_19_05.png,19,5,0.48200000000000004,1.37,0.12913888,0.20603715,30.680146999999998
I01.png,I01_20_01.png,20,1,0.67,4.53,0.01861158,0.02364921,29.683173999999998
I01.png,I01_20_02.png,20,2,1.136,3.9,0.0406075,0.04594275,68.395546
I01.png,I01_20_03.png,20,3,0.966,4.0,0.05665946,0.05519142,70.953323
I01.png,I01_20_04.png,20,4,1.35,3.33,0.06962069,0.06279395,62.33865
I01.png,I01_20_05.png,20,5,1.5419999999999998,3.23,0.0880687,0.07303634,72.04660799999999
I01.png,I01_21_01.png,21,1,0.948,3.37,0.03676487,0.07018789999999998,22.942497
I01.png,I01_21_02.png,21,2,0.883,2.57,0.04273267,0.07362518,24.549162
I01.png,I01_21_03.png,21,3,0.74,2.03,0.03747441,0.06917758,22.576849
